name,keysig,mode,melody
NLB070075_01,1,0,(62 71 69 71 67 64 69 69 71 69 71 67 67 67 66 69 76 76 74 69 71 74 74 74 72 71 71 69 67 71 69 62 62 74 74 74 72 71 71 69 67 71 69 62 62 74 74 74 72 71 72 74 76 76 78 76 74 76 74 74 72 69 67)
NLB070075_05,1,0,(62 62 71 69 67 71 69 67 71 69 62 62 74 74 74 72 71 71 69 67 71 69 62 62 74 74 74 72 71 72 74 76 76 78 76 74 76 74 74 74 72 69 67)
NLB070076_01,1,0,(74 71 71 71 69 71 71 71 74 74 74 72 71 69 72 72 71 69 67 74 71 71 71 69 71 71 71 71 71 74 74 74 72 71 69 72 72 71 69 67 79 79 79 79 79 76 79 79 79 79 79 74 71 71 72 72 74 74 74 76 74 74 72 71 69 67 71 74 79 79 79 79 79 76 79 79 79 79 79 74 71 71 72 72 74 74 74 76 74 74 72 71 69 67)
NLB070078_01,1,0,(74 74 74 76 74 67 69 71 72 74 76 76 74 69 74 74 79 78 76 74 76 74 72 76 74 72 72 71 74 74 74 76 74 67 69 71 72 74 76 76 74 74 78 76 74 72 71 71 69 72 76 76 74 69 67 74 78 76 74 72 71 71 69 72 76 76 74 69 67)
NLB070079_01,1,0,(67 69 71 72 71 69 67 72 71 69 67 62 74 76 74 72 72 72 71 69 71 76 74 67 74 74 74 79 78 76 72 76 76 74 74 74 76 72 71 67 67 69 72 76 76 74 74 76 72 71 67 67 69 72 74 74 67)
NLB070080_01,1,0,(62 59 71 67 69 67 64 67 62 64 62 59 67 69 67 66 66 64 62 66 64 60 62 66 66 66 66 66 64 62 66 64 64 62 62 59 62 64 64 66 69 67 71 71 71 69 64 66 67 69 62 62 71 69 67 67 69 71 74 72 71 71 69 71 72 71 69 64 66 69 67 62 62 71 69 67 67 69 71 74 72 71 71 69 71 72 71 69 64 66 69 67)
NLB070081_01,1,0,(74 74 76 76 71 69 67 67 67 67 69 69 69 69 71 67 74 74 76 74 71 69 67 67 69 72 71 71 69 67)
NLB070082_01,1,0,(62 66 67 67 67 71 71 62 71 69 67 69 71 72 74 72 71 71 71 72 74 74 72 71 69 67 69 71 69 71 71 72 74 74 74 79 76 76 76 74 76 74 72 71 69 67)
NLB070083_01,1,0,(74 74 74 72 71 71 74 74 74 72 71 71 74 74 76 74 74 72 72 72 71 69 69 74 74 74 76 74 74 72 72 72 71 69 69 74 74 74 74 76 78 79)
NLB070084_01,1,0,(74 67 71 74 74 76 76 74 74 76 76 78 81 79 74 79 81 79 78 76 79 74 74 76 76 74 72 69 71 74 79 81 79 78 76 79 74 74 76 76 74 72 69 67)
NLB070085_01,1,0,(62 67 62 62 62 64 64 69 69 67 66 64 62 62 71 74 72 71 69 64 67 69 71 71 72 66 67)
NLB070088_01,1,0,(74 74 72 71 71 71 74 72 71 71 69 69 69 71 69 69 69 71 72 74 76 74 72 69 67 67 71 69 67 66 64 62 62 67 69 71 76 74 72 72 71)
NLB070089_01,1,0,(62 59 62 67 69 67 66 60 60 60 62 66 64 64 62 59 62 59 62 67 71 71 69 67 64 66 69 67 62 62 64 66 67)
NLB070090_01,1,0,(69 71 67 71 72 76 74 72 69 72 71 74 74 76 74 72 69 72 71 74 71 72 74 71 74 76 72 69 72 69 71 72 69 71 76 74 72 71 74 76 74 72 71 69 71 72 74 74 76 74 71 74 72 71)
