uid,event,ioi,period,pulses
d13d6a44e26df9b5-0,9,1,16,8
d13d6a44e26df9b5-0,10,1,16,8
d13d6a44e26df9b5-0,11,1,16,8
d13d6a44e26df9b5-0,12,1,16,8
d13d6a44e26df9b5-0,13,6,16,8
d13d6a44e26df9b5-0,14,4,16,8
d13d6a44e26df9b5-0,15,2,16,8
d13d6a44e26df9b5-0,16,4,16,8
d13d6a44e26df9b5-0,17,2,16,8
d13d6a44e26df9b5-0,18,2,16,8
d13d6a44e26df9b5-0,19,2,16,8
d13d6a44e26df9b5-0,20,1,16,8
d13d6a44e26df9b5-0,21,1,16,8
d13d6a44e26df9b5-0,22,2,16,8
d13d6a44e26df9b5-0,23,1,16,8
d13d6a44e26df9b5-0,24,1,16,8
d13d6a44e26df9b5-0,25,1,16,8
d13d6a44e26df9b5-0,26,1,16,8
d13d6a44e26df9b5-0,27,1,16,8
d13d6a44e26df9b5-0,28,1,16,8
8dccda4b4ef5d673-0,0,4,20,10
8dccda4b4ef5d673-0,1,2,20,10
8dccda4b4ef5d673-0,2,8,20,10
8dccda4b4ef5d673-0,3,2,20,10
8dccda4b4ef5d673-0,4,2,20,10
8dccda4b4ef5d673-0,5,2,20,10
8dccda4b4ef5d673-0,6,4,20,10
8dccda4b4ef5d673-0,7,2,20,10
8dccda4b4ef5d673-0,8,8,20,10
8dccda4b4ef5d673-0,9,2,20,10
8dccda4b4ef5d673-0,10,2,20,10
8dccda4b4ef5d673-0,11,2,20,10
8dccda4b4ef5d673-0,12,4,20,10
8dccda4b4ef5d673-0,13,2,20,10
8dccda4b4ef5d673-0,14,4,20,10
8dccda4b4ef5d673-0,15,2,20,10
8dccda4b4ef5d673-0,16,2,20,10
8dccda4b4ef5d673-0,17,2,20,10
8dccda4b4ef5d673-0,18,2,20,10
8dccda4b4ef5d673-0,19,2,20,10
8dccda4b4ef5d673-0,20,2,20,10
8dccda4b4ef5d673-0,21,2,20,10
8dccda4b4ef5d673-0,22,2,20,10
8dccda4b4ef5d673-0,23,2,20,10
8dccda4b4ef5d673-0,24,2,20,10
8dccda4b4ef5d673-0,25,2,20,10
8dccda4b4ef5d673-0,26,2,20,10
8dccda4b4ef5d673-0,27,6,20,10
8dccda4b4ef5d673-0,28,4,20,10
033176b84c95a6c9-0,0,4,20,10
033176b84c95a6c9-0,1,2,20,10
033176b84c95a6c9-0,2,3,20,10
033176b84c95a6c9-0,3,1,20,10
033176b84c95a6c9-0,4,1,20,10
033176b84c95a6c9-0,5,1,20,10
033176b84c95a6c9-0,6,1,20,10
033176b84c95a6c9-0,7,1,20,10
033176b84c95a6c9-0,8,6,20,10
033176b84c95a6c9-0,9,4,20,10
033176b84c95a6c9-0,10,2,20,10
033176b84c95a6c9-0,11,1,20,10
033176b84c95a6c9-0,12,1,20,10
033176b84c95a6c9-0,13,1,20,10
033176b84c95a6c9-0,14,1,20,10
033176b84c95a6c9-0,15,2,20,10
033176b84c95a6c9-0,16,2,20,10
033176b84c95a6c9-0,17,1,20,10
033176b84c95a6c9-0,18,1,20,10
033176b84c95a6c9-0,19,1,20,10
033176b84c95a6c9-0,20,1,20,10
033176b84c95a6c9-0,21,2,20,10
033176b84c95a6c9-0,22,2,20,10
033176b84c95a6c9-0,23,2,20,10
033176b84c95a6c9-0,24,2,20,10
033176b84c95a6c9-0,25,3,20,10
033176b84c95a6c9-0,26,1,20,10
033176b84c95a6c9-0,27,1,20,10
033176b84c95a6c9-0,28,1,20,10
033176b84c95a6c9-2,0,4,20,10
033176b84c95a6c9-2,1,2,20,10
033176b84c95a6c9-2,2,2,20,10
033176b84c95a6c9-2,3,2,20,10
033176b84c95a6c9-2,4,2,20,10
033176b84c95a6c9-2,5,2,20,10
033176b84c95a6c9-2,6,4,20,10
033176b84c95a6c9-2,7,2,20,10
033176b84c95a6c9-2,8,1,20,10
033176b84c95a6c9-2,9,1,20,10
033176b84c95a6c9-2,10,2,20,10
033176b84c95a6c9-2,11,2,20,10
033176b84c95a6c9-2,12,2,20,10
033176b84c95a6c9-2,13,2,20,10
033176b84c95a6c9-2,14,2,20,10
033176b84c95a6c9-2,15,2,20,10
033176b84c95a6c9-2,16,6,20,10
033176b84c95a6c9-2,17,4,20,10
033176b84c95a6c9-2,18,2,20,10
033176b84c95a6c9-2,19,3,20,10
033176b84c95a6c9-2,20,1,20,10
033176b84c95a6c9-2,21,2,20,10
033176b84c95a6c9-2,22,2,20,10
033176b84c95a6c9-2,23,1,20,10
033176b84c95a6c9-2,24,1,20,10
033176b84c95a6c9-2,25,1,20,10
033176b84c95a6c9-2,26,1,20,10
033176b84c95a6c9-2,27,2,20,10
033176b84c95a6c9-2,28,4,20,10
2dd1255e6d6a45f7-0,0,3,18,9
2dd1255e6d6a45f7-0,1,1,18,9
2dd1255e6d6a45f7-0,2,2,18,9
2dd1255e6d6a45f7-0,3,2,18,9
2dd1255e6d6a45f7-0,4,2,18,9
2dd1255e6d6a45f7-0,5,2,18,9
2dd1255e6d6a45f7-0,6,2,18,9
2dd1255e6d6a45f7-0,7,2,18,9
2dd1255e6d6a45f7-0,8,2,18,9
2dd1255e6d6a45f7-0,9,3,18,9
2dd1255e6d6a45f7-0,10,1,18,9
2dd1255e6d6a45f7-0,11,2,18,9
2dd1255e6d6a45f7-0,12,2,18,9
2dd1255e6d6a45f7-0,13,1,18,9
2dd1255e6d6a45f7-0,14,1,18,9
2dd1255e6d6a45f7-0,15,1,18,9
2dd1255e6d6a45f7-0,16,1,18,9
2dd1255e6d6a45f7-0,17,2,18,9
2dd1255e6d6a45f7-0,18,2,18,9
2dd1255e6d6a45f7-0,19,2,18,9
2dd1255e6d6a45f7-0,20,3,18,9
2dd1255e6d6a45f7-0,21,1,18,9
2dd1255e6d6a45f7-0,22,1,18,9
2dd1255e6d6a45f7-0,23,1,18,9
2dd1255e6d6a45f7-0,24,1,18,9
2dd1255e6d6a45f7-0,25,1,18,9
2dd1255e6d6a45f7-0,26,1,18,9
2dd1255e6d6a45f7-0,27,1,18,9
2dd1255e6d6a45f7-0,28,1,18,9
87a0af813218c62e-0,0,4,16,4
87a0af813218c62e-0,1,2,16,4
87a0af813218c62e-0,2,2,16,4
87a0af813218c62e-0,3,4,16,4
87a0af813218c62e-0,4,2,16,4
87a0af813218c62e-0,5,2,16,4
87a0af813218c62e-0,6,2,16,4
87a0af813218c62e-0,7,2,16,4
87a0af813218c62e-0,8,2,16,4
87a0af813218c62e-0,9,2,16,4
87a0af813218c62e-0,10,3,16,4
87a0af813218c62e-0,11,1,16,4
87a0af813218c62e-0,12,4,16,4
87a0af813218c62e-0,13,2,16,4
87a0af813218c62e-0,14,2,16,4
87a0af813218c62e-0,15,2,16,4
87a0af813218c62e-0,16,2,16,4
87a0af813218c62e-0,17,4,16,4
87a0af813218c62e-0,18,2,16,4
87a0af813218c62e-0,19,2,16,4
87a0af813218c62e-0,20,2,16,4
87a0af813218c62e-0,21,2,16,4
87a0af813218c62e-0,22,2,16,4
87a0af813218c62e-0,23,2,16,4
87a0af813218c62e-0,24,8,16,4
87a0af813218c62e-0,25,2,16,4
87a0af813218c62e-0,26,2,16,4
87a0af813218c62e-0,27,2,16,4
87a0af813218c62e-0,28,2,16,4
89018cb7a77608f0-0,0,2,16,4
89018cb7a77608f0-0,1,2,16,4
89018cb7a77608f0-0,2,4,16,4
